Start;Type;HandlingTime
14:30:00.043;112;13.819
14:30:04.702;INEM;22.103
14:30:06.443;INEM;3.331
14:30:09.990;112;60.214
14:30:11.271;INEM;264.273
14:30:13.927;INEM;129.449
14:30:21.016;INEM;266.524
14:30:23.363;112;126.149
14:30:23.518;INEM;325.739
14:30:27.681;INEM;0.711
14:30:28.154;112;153.954
14:30:28.648;INEM;197.996
14:30:32.912;112;191.480
14:30:32.974;INEM;212.828
14:30:50.485;112;164.938
14:30:53.799;112;275.470
14:30:54.745;INEM;331.983
14:30:58.315;INEM;50.672
14:31:02.611;112;147.966
14:31:04.891;INEM;219.999
14:31:08.778;INEM;288.670
14:31:10.800;112;114.769
14:31:12.667;INEM;356.338
14:31:13.342;INEM;117.939
14:31:13.695;INEM;591.207
14:31:14.838;INEM;642.815
14:31:20.646;INEM;51.814
14:31:25.537;INEM;95.871
14:31:29.342;INEM;20.874
14:31:32.354;112;163.458
14:31:38.471;INEM;17.269
14:31:44.825;112;276.382
14:31:45.209;INEM;368.337
14:32:00.926;INEM;51.864
14:32:01.888;INEM;410.929
14:32:02.908;112;90.910
14:32:04.919;INEM;108.048
14:32:06.436;INEM;78.375
14:32:13.508;INEM;116.012
14:32:17.158;INEM;536.958
14:32:17.585;INEM;384.134
14:32:17.741;112;75.141
14:32:19.174;INEM;190.714
14:32:24.481;INEM;362.966
14:32:25.345;INEM;56.637
14:32:27.331;INEM;110.507
14:32:27.726;INEM;163.700
14:32:35.987;112;84.921
14:32:42.165;INEM;37.992
14:32:43.580;INEM;11.996
14:32:44.236;INEM;374.503
14:32:44.814;112;70.068
14:32:47.287;112;170.787
14:32:48.760;INEM;537.138
14:32:53.291;INEM;546.348
14:33:00.713;INEM;244.948
14:33:00.734;INEM;515.546
14:33:00.923;INEM;151.009
14:33:05.728;INEM;180.747
14:33:13.269;INEM;311.826
14:33:18.626;INEM;193.245
14:33:19.471;112;25.339
14:33:25.263;INEM;124.378
14:33:27.586;INEM;24.371
14:33:34.016;112;19.753
14:33:34.819;INEM;40.655
14:33:36.272;112;220.055
14:33:37.631;INEM;460.764
14:33:41.768;INEM;91.246
14:33:43.462;INEM;792.385
14:33:45.548;INEM;162.412
14:33:45.980;INEM;57.773
14:33:48.979;INEM;337.768
14:33:50.099;INEM;54.306
14:33:50.946;INEM;93.366
14:33:51.250;INEM;443.269
14:33:55.415;INEM;427.578
14:33:56.589;INEM;470.276
14:33:58.346;112;19.263
14:34:00.514;INEM;105.830
14:34:07.474;INEM;328.596
14:34:10.065;INEM;61.033
14:34:10.449;INEM;29.376
14:34:13.783;INEM;496.898
14:34:21.406;112;25.231
14:34:21.593;INEM;257.077
14:34:22.468;112;108.834
14:34:23.240;112;429.068
14:34:25.117;112;64.960
14:34:26.136;INEM;237.476
14:34:26.802;INEM;261.543
14:34:34.138;112;49.508
14:34:34.551;INEM;553.294
14:34:40.710;INEM;67.692
14:34:42.267;INEM;171.495
14:34:43.744;112;352.526
14:34:46.827;INEM;3.484
14:34:52.119;INEM;139.051
14:34:52.997;INEM;274.956
14:34:53.197;INEM;81.650
14:34:53.735;INEM;450.143
14:35:14.275;112;169.783
14:35:15.809;INEM;198.806
14:35:18.071;INEM;1402.422
14:35:18.904;INEM;3.221
14:35:19.038;112;72.079
14:35:19.505;INEM;438.629
14:35:21.432;INEM;67.217
14:35:23.915;INEM;904.078
14:35:24.730;INEM;434.417
14:35:25.935;112;111.877
14:35:33.203;INEM;232.880
14:35:39.641;INEM;352.858
14:35:48.216;INEM;544.252
14:35:48.400;112;50.602
14:35:49.355;INEM;694.470
14:35:55.202;112;40.172
14:35:57.960;112;81.550
14:35:59.716;INEM;5.624
14:36:07.660;INEM;30.485
14:36:08.302;INEM;813.769
14:36:09.180;112;25.416
14:36:11.177;112;169.332
14:36:14.517;INEM;253.728
